temp,feels_like,temp_min,temp_max,pressure,humidity,clouds,wind_speed,wind_deg,weather_now,weather_next_hour
302.52,302.34,302.52,302.52,1012,42,56,4.78,357,Clouds,0
287.52,287.05,287.52,287.52,1008,78,100,2.26,278,Clouds,0
290.52,290.35,290.52,290.52,1024,78,7,2.28,214,Clear,0
296.52,296.43,296.52,296.52,1013,58,94,3.03,344,Rain,0
294.52,293.86,294.52,294.52,1004,44,50,4.35,331,Clouds,0
290.52,290.45,290.52,290.52,1025,82,22,1.43,15,Clouds,0
294.52,294.7,294.52,294.52,1008,76,72,1.59,313,Clouds,0
293.52,293.36,293.52,293.52,1009,67,35,1.28,306,Clouds,0
283.52,282.1,283.52,283.52,1031,57,5,0.9,154,Clear,0
279.87,276.86,279.87,279.87,1005,80,99,4.51,310,Clouds,0
290.52,290.71,290.52,290.52,1008,92,0,2.45,288,Clear,0
300.52,300.35,300.52,300.52,1023,41,84,3.64,153,Clouds,0
287.52,287.47,287.52,287.52,997,94,77,2.38,243,Clouds,0
295.52,294.88,295.52,295.52,1029,41,5,2.65,33,Clear,0
294.52,294.28,294.52,294.52,1018,60,65,1.87,76,Clouds,0
300.52,301.71,300.52,300.52,1022,60,59,3.37,269,Clouds,0
294.52,293.76,294.52,294.52,1032,40,18,4.48,147,Clouds,0
286.52,286.42,286.52,286.52,1005,96,100,4.32,314,Clouds,0
292.52,292.5,292.52,292.52,998,76,41,0.81,264,Clouds,0
291.52,291.66,291.52,291.52,1014,86,81,1.35,347,Clouds,0
291.52,290.93,291.52,291.52,1028,58,0,2.96,89,Clear,0
290.52,290.09,290.52,290.52,1006,68,100,1.25,255,Clouds,0
290.52,289.93,290.52,290.52,1029,62,1,2.79,97,Clear,0
291.52,290.85,291.52,291.52,1004,55,90,4.75,356,Clouds,0
293.52,293.31,293.52,293.52,997,65,100,4.83,260,Clouds,0
292.52,292.37,292.52,292.52,998,71,51,3.42,268,Clouds,0
292.52,292.08,292.52,292.52,1014,60,84,3.95,323,Clouds,0
301.52,301.47,301.52,301.52,1018,44,4,3.3,348,Clear,0
291.52,291.06,291.52,291.52,1014,63,100,0.62,275,Clouds,0
291.52,290.48,291.52,291.52,1016,41,0,5.22,12,Clear,0
297.52,296.9,297.52,297.52,1030,34,42,1.97,119,Clouds,0
291.52,290.82,291.52,291.52,1010,54,60,4.4,312,Clouds,0
288.52,287.84,288.52,288.52,1034,66,98,1.39,178,Clouds,0
285.52,284.46,285.52,285.52,1017,63,4,4.78,19,Clear,0
297.52,297.34,297.52,297.52,1005,51,100,3.8,270,Clouds,0
294.52,294.23,294.52,294.52,1011,58,95,0.67,36,Clouds,0
308.52,315.52,308.52,308.52,1010,55,30,3.69,187,Clouds,0
293.52,293.23,293.52,293.52,1018,62,71,1.52,51,Clouds,0
295.52,295.12,295.52,295.52,1019,50,22,1.46,56,Clouds,0
298.52,298.13,298.52,298.52,1029,39,7,2.42,50,Clear,0
296.52,296.01,296.52,296.52,1033,42,76,1.53,94,Clouds,0
304.52,307.05,304.52,304.52,1013,53,7,2.37,195,Clear,0
290.52,290.09,290.52,290.52,1011,68,45,2.05,345,Clouds,0
283.52,282.47,283.52,283.52,1031,71,10,1.52,316,Clear,0
292.52,292.13,292.52,292.52,1006,62,100,0.9,321,Clouds,0
298.52,298.86,298.52,298.52,1018,67,59,4.08,351,Clouds,0
296.52,296.98,296.52,296.52,1014,79,57,2.33,143,Clouds,0
298.52,298.57,298.52,298.52,1019,56,0,3.09,346,Clear,0
289.52,289.43,289.52,289.52,1025,85,19,1.8,119,Clouds,0
295.52,295.17,295.52,295.52,1006,52,60,2.81,284,Clouds,0
291.52,291.29,291.52,291.52,1009,72,36,1.64,298,Clouds,0
297.52,296.98,297.52,297.52,1029,37,0,2.09,267,Clear,0
291.52,291.92,291.52,291.52,1008,96,71,2.54,75,Clouds,0
292.52,292.55,292.52,292.52,1009,78,38,2.14,199,Clouds,0
290.52,290.51,290.52,290.52,1025,84,12,1.61,20,Clouds,0
286.52,285.87,286.52,286.52,1013,75,24,3.97,29,Clouds,0
289.52,289.54,289.52,289.52,1006,89,99,3.2,259,Clouds,0
287.52,287.21,287.52,287.52,1019,84,7,1.39,182,Clear,0
290.52,290.4,290.52,290.52,1005,80,78,2.62,79,Clouds,0
288.52,288.38,288.52,288.52,1025,87,19,1.68,108,Clouds,0
293.52,293.62,293.52,293.52,1007,77,85,2.16,341,Clouds,0
294.52,293.68,294.52,294.52,1030,37,5,2.13,127,Clear,0
287.52,286.81,287.52,287.52,1028,69,22,2.03,304,Clouds,0
